Breach ID:,Responsible Party,Type,Keywords or Phrases I,Malicious Intent,Accidental Human Error,Keywords or Phrases II,PHI,Recovery Actions,Preventive Actions,Follow-up Actions
77,Employee(s) of the BA,Unauthorized Access/Disclosure,accessed protected health information,4,1,using an assumed name and nursing license,"Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to law enforcement, Notification: to the media, Sanction: employees","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures, Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures",Assurance to OCR of the corrective actions
77,"Business Associate (BA), Employee(s) of the BA",Unauthorized Access/Disclosure,accessed protected health information,3,2,accessed (very vague so I'm not sure of intent),"Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records), claims information (I'm not sure what that is)","Notification: to affected individuals, Notification: to HHS, Notification: to law enforcement, Notification: to the media, Sanction: employees","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures",Train employees (of the new polices and/or procedures)
77,Employee(s) of the CE,Unauthorized Access/Disclosure,"""using an assumed name and nursing license"" "" accessed protected health information""",3,3,it doesn't say why the services were provided using the assumed name and nursing license.,"Names, dates, or physical addresses, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number), claims information","Notification: to affected individuals, Notification: to HHS, Notification: to law enforcement, Notification: to the media, Sanction: BA or subcontractor",Obtaining/requesting/assisting of BA's compliance,"Train employees (of the new polices and/or procedures), Assurance to OCR of the corrective actions"
147,Employee(s) of the BA,Theft,"""work-issued laptop computer was stolen from her vehicle""",5,3,"""stolen"" even though she should not have left the laptop unguarded, running into a store is common compared to leaving the laptop in the car overnight.","Names, dates, or physical addresses, Phone numbers, Social Security Numbers, Clinical information (e.g. medical records), Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to law enforcement, Notification: to the media, Sanction: employees, Retraining or memorandum to corresponding staff (existing policies/procedures)","Physical safeguards improvement: encryption of physical documents, Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures",Assurance to OCR of the corrective actions
147,Employee(s) of the CE,Theft,"""stolen"", ""theft""",5,2,"""stolen"", ""employee immediately reported the incident to the local police and the covered entity""","Names, dates, or physical addresses, Phone numbers, Social Security Numbers, Financial information (e.g. credit card number), Clinical information (e.g. medical records)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Investigation: The CE ensured that the system had not been accessed and terminated the stolen computer's access to the system.","Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: encryption of ePHI or devices with ePHI","Hire/organize a team to ensure compliance, Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions"
147,"The CE, Thieves",Theft,"stolen, encrypted all devices, updated its policies",2,3,"stolen from vehicle, reported incident to police","Names, dates, or physical addresses, Phone numbers, Social Security Numbers, Financial information (e.g. credit card number), Clinical information (e.g. medical records)","Notification: to affected individuals, Notification: to HHS, Notification: to law enforcement, Notification: to the media, Retraining or memorandum to corresponding staff (existing policies/procedures)",Unknown,"Hire/organize a team to ensure compliance, Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions, Comprehensive security audit for other improper uses or vulnerbalities"
162,Employee(s) of the CE,Theft,stolen,5,3,stolen,"Social Security Numbers, Financial information (e.g. credit card number), Clinical information (e.g. medical records), demographic information","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Sanction: employees, Compensation: credit monitoring, Retraining or memorandum to corresponding staff (existing policies/procedures)","Physical safeguards improvement: workstations with ePHI, Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: encryption of ePHI or devices with ePHI","Train employees (of the new polices and/or procedures), Upgrades of current systems"
162,"The CE, Employee(s) of the CE",Theft,stolen,5,5,"unencrypted laptop, stolen from hotel meeting room, sanctioned employee","Names, dates, or physical addresses, Social Security Numbers, Financial information (e.g. credit card number), Clinical information (e.g. medical records)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Sanction: employees, Compensation: credit monitoring, theft protection services","Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: encryption of ePHI or devices with ePHI, remote wiping software on devices, geo location capabilities","Assurance to OCR of the corrective actions, cease operations to fulfill these actions"
162,The CE,Theft,"""stolen""",5,2,"""an employee's unencrypted laptop computer was stolen from a hotel meeting room""","Social Security Numbers, Financial information (e.g. credit card number), Clinical information (e.g. medical records), demographic information","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Sanction: employees, Compensation: credit monitoring, Retraining or memorandum to corresponding staff (existing policies/procedures)","Physical safeguards improvement: workstations with ePHI, Physical safeguards improvement: protection of mobile devices, Physical safeguards improvement: new procedures, Technical safeguards improvement: encryption of ePHI or devices with ePHI, Technical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions"
202,Employee(s) of the BA,Hacking/IT Incident,impermissiable to download PHI,4,2,impermissiable downloads were made on employee's laptop.,"Names, dates, or physical addresses, Email addresses, Social Security Numbers, Medial IDs","Notification: to affected individuals, Notification: to HHS, Notification: to the media","Disposal: proper disposal of physical documents, Disposal: proper disposal of electronic documents, Physical safeguards improvement: workstations with ePHI, Physical safeguards improvement: workstations with PHI documents, Physical safeguards improvement: limited physical access to workstations, Physical safeguards improvement: new policies, Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: encryption of ePHI or devices with ePHI, Technical safeguards improvement: new policies",Assurance to OCR of the corrective actions
202,"Business Associate (BA), Employee(s) of the BA","Improper Disposal, Unauthorized Access/Disclosure","""prohibitted... downloading of data to unauthorized, external storage""",2,3,"""impermissibly"", ""ensure timely processing of returned ...""","Names, dates, or physical addresses, Social Security Numbers, Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, substitute notice",Physical safeguards improvement: new policies,none
202,Employee(s) of the BA,Unauthorized Access/Disclosure,Impermissibly downloaded,5,3,Information was intentionally downloaded,"Names, dates, or physical addresses, Social Security Numbers, Other identification information (e.g., patient account number)","Notification: to affected individuals, Notification: to HHS, Notification: to the media",Technical safeguards improvement: new policies,Upgrades of current systems
216,"The CE, Subcontractors",Unauthorized Access/Disclosure,Accessible on the internet,1,4,Did not share,Not mentioned,"Notification: to affected individuals, Notification: to HHS, Notification: to the media, Investigation: others, Sanction: BA or subcontractor, Compensation: credit monitoring","Physical safeguards improvement: encryption of physical documents, Technical safeguards improvement: limited access (e.g. password protection, authentication process), Obtaining/requesting/assisting of subcontractor's compliance","Train employees (of the new polices and/or procedures), Assurance to OCR of the corrective actions, Terminate subcontractor contract"
216,Business Associate (BA),Hacking/IT Incident,"""electronic medical record hosting company"" ""antivirus and spyware applications"", ""firewall""",4,4,"""internal investigation"", ""determine any unauthorized access""","Names, dates, or physical addresses, Clinical information (e.g. medical records)","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Sanction: BA or subcontractor, Compensation: credit monitoring","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures, Technical safeguards improvement: anti-virus software or procedures, Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Assurance to OCR of the corrective actions"
216,"The CE, Subcontractors",Hacking/IT Incident,was potentially viewable online,1,4,potentially viewable,"Names, dates, or physical addresses, Clinical information (e.g. medical records)",Investigation: (hire third parties for) security investigation,"Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: anti-virus software or procedures","Assurance to OCR of the corrective actions, Comprehensive security audit for other improper uses or vulnerbalities, CE terminated relationship with the EMR system hosting company"
515,Employee(s) of the CE,Unauthorized Access/Disclosure,impermissibly accessed,5,1,took photographic images,"Names, dates, or physical addresses, Phone numbers, Social Security Numbers, birth dates","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Sanction: employees, Compensation: website for information","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures, Technical safeguards improvement: limited access (e.g. password protection, authentication process), Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Assurance to OCR of the corrective actions, Comprehensive security audit for other improper uses or vulnerbalities"
515,Employee(s) of the CE,Hacking/IT Incident,Impermissibly accessed,5,1,Impermissibly accessed,"Names, dates, or physical addresses, Phone numbers, Social Security Numbers","Notification: to affected individuals, Notification: to HHS, Notification: to the media, Sanction: employees","Physical safeguards improvement: new policies, Physical safeguards improvement: new procedures, Technical safeguards improvement: new policies, Technical safeguards improvement: new procedures","Train employees (of the new polices and/or procedures), Upgrades of current systems, Assurance to OCR of the corrective actions"
